Clover ID,Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
0YETGBFMT45J4,Jujubes,1.69,Fixed,,Rhode Island Sales Tax ,0,,41420128172,,13,,No,No
DNXYS5S1GXWKR,Bottle Cap,1.69,Fixed,,DEFAULT,0,,79200358860,,4,,No,No
N9W5ZYPKK95DJ,Charleston Chew Vanilla,1.25,Fixed,,,0,,ch071720531303,,23,,No,No
5KF7FD87Q0EMR,Sour Power Straws Blue Raspberry,0.99,Fixed,,Rhode Island Sales Tax ,0,,29126150659,,8,,No,No
AHKYA0R0E3MMP,Sugar Babies,1.39,Fixed,,Rhode Island Sales Tax ,0,,14200533107,,17,,No,No
TNETM4FZHN804,Sour Powers Straws Cotton Candy,0.99,Fixed,,Rhode Island Sales Tax ,0,,29126150307,,41,,No,No
N17EPZAP44ZC6,Charleston Chew Strawberry,1.25,Fixed,,DEFAULT,0,,71720531204,,4,,No,No
K90HFMM57A9TR,Charleston Chew Chocolatey,1.25,Fixed,,DEFAULT,0,,71720531105,,19,,No,No
1FGS9VYXQTAB4,Rocky Road,0.99,Fixed,,,0,,70602489008,,3,,No,No
SKY3M211Y3H8M,Banana Turkish Taffy,1.69,Fixed,,DEFAULT,0,,8.99E+11,,12,,No,No
KRXZ3BTBT5AY0,Razzeles,1.39,Fixed,,DEFAULT,0,,59642008288,,20,,No,No
T3AY233Z78MEW,Cow Tales,0.39,Fixed,,DEFAULT,0,,70622431025,,23,,No,No
19SVJQEZXG1ZE,Whatchamacallit,1.99,Fixed,,DEFAULT,0,,3429903,,23,,No,No
8P5P3VA22WRBM,Cow Tales,0.39,Fixed,,Rhode Island Sales Tax ,0,,70622431018,,13,,No,No
HS3SHGQ4PWYJ4,Zero King,1.99,Fixed,,DEFAULT,0,,10700804273,,8,,No,No
6C5ME3B77RZ3R,Raffello,1.99,Fixed,,DEFAULT,0,,982237,,13,,No,No
WBY0PGDWBRE1J,Smarties,1.25,Fixed,,DEFAULT,0,,11206005003,,26,,No,No
SZYA53BJ5JQ5G,Sweet Tarts Giant Chewy,1.25,Fixed,,DEFAULT,0,,79200131166,,21,,No,No
Z9K05GV42JMBE,Skybar,2.25,Fixed,,DEFAULT,0,,7.07E+11,,16,,No,No
H3Q4TEBE55H56,Chunky,1.99,Fixed,,DEFAULT,0,,99900824601,,21,,No,No
XC9217EJPYZDP,Bar None,1.25,Fixed,,DEFAULT,0,,8.60E+11,,16,,No,No
2K0MYNNQ2XX94,Fort Knox,2.49,Fixed,,DEFAULT,0,,86232319202,,9,,No,No
QTSSQSH2YAEMC,Fort Knox Unicorn,2.49,Fixed,,DEFAULT,0,,86232359741,,16,,No,No
4JE6NTP5CYM6W,Chocolate Turkish Taffy,1.69,Fixed,,DEFAULT,0,,8.99E+11,,23,,No,No
J5GZANNKP2Y06,Strawberry Turkish Taffy,1.69,Fixed,,DEFAULT,0,,8.99E+11,,23,,No,No
ACKT52S5KG4J0,Bubble Gum Cigars,0,Fixed,,DEFAULT,0,,59642003702,,18,,No,No
MD691HYXM53PC,Sugar Daddy,1.25,Fixed,,DEFAULT,0,,14200532100,,21,,No,No
2F966XASJ7R1R,Sour Flush,1.99,Fixed,,DEFAULT,0,,6.86E+11,,5,,No,No
VWGZW97S06Q96,Gobstoppers,1.25,Fixed,,DEFAULT,0,,79200230401,,23,,No,No
HXG9761RMSA6E,Twin Cherry Pop,0.39,Fixed,,DEFAULT,0,,8.72E+12,,55,,No,No
FB506CVJDYX06,Sour Ooze,1.99,Fixed,,DEFAULT,0,,6.86E+11,,9,,No,No
Q69TQ4JNN2K4T,Broadway Strawberry Rolls,1.25,Fixed,,DEFAULT,0,,86232860018,,16,,No,No
JGJGCSG5J743T,Clark Cup,1.25,Fixed,,DEFAULT,0,,41311126058,,22,,No,No
X8MQQ7WCJ8JJJ,Vanila Turkish Taffy,1.69,Fixed,,DEFAULT,0,,8.99E+11,,15,,No,No
4W1PGWV3W4PAW,Chocolate Sticks,1.39,Fixed,,DEFAULT,0,,86232312241,,21,,No,No
4W7BEFJ4FAQH8,Necco The Original Candy Wafer,1.39,Fixed,,DEFAULT,0,,30800900002,,13,,No,No
877703M546WQE,Necco The Original Chocolate Wafer,1.39,Fixed,,DEFAULT,0,,30800910001,,9,,No,No
SC73YPF52SBHY,Mallo Cup,1.25,Fixed,,DEFAULT,0,,41311121053,,18,,No,No
F034YHBQM563Y,Honees,1.29,Fixed,,DEFAULT,0,,7065042,,31,,No,No
6CYEK4DTW86KR,Life Savers Hard Candy,1.25,Fixed,,DEFAULT,0,,2243405,,25,,No,No
EQYFWJCMBVTPG,Chowards Violet,0.99,Fixed,,DEFAULT,0,,11642031017,,19,,No,No
SBGHD6RBBSJEA,Pop Rocks Watermelon,0.89,Fixed,,DEFAULT,0,,7.22E+11,,6,,No,No
4HNQ2SN5Q2NET,Pop Rocks Green Apple,0.89,Fixed,,DEFAULT,0,,7.22E+11,,4,,No,No
