"name","clName","price","SKU","bcSKU","category","description","price_type","cost","tax_rates","quantity","clover_ID",
"Dubble Bubble (Sugar Free)","Sugar Free Dubble Bubble Gum","2.95","59642130835","424-142","Sugar Free",,"Fixed","0","DEFAULT","2","GB165VAQSDHFE",
"Twizzlers  (Sugar Free)","Sugar Free Twizzlers","3.49","34000540105","421-311","Sugar Free",,"Fixed","0","DEFAULT","13","4YHABZZWGKMMM",
"Chocolate Candy (Sugar Free) [Size=7 oz.]","Sugar Free Chocolate Bar","2.95","4.75E+12","428-7O","Sugar Free",,"Fixed","0","DEFAULT",,"KJX9WPPD7NEJR",
"Jelly Belly Gummi Bears  (Sugar Free)","Sugar Free Jelly Belly Gummy Bears (cloned)","2.95","420-8431","420-8431","Sugar Free",,"Fixed","0","DEFAULT","8","F3R32B60MZPMC",
"Yummy Pops","Yummy Pops","5.95","11212003185","610-6395","Candy/Novelty",,"Per unit","0","DEFAULT","14","Z6D8338H7DSQ0",
"Indian Salted Pumpkin Seeds","Indian Salted Pumpin Seeds","10.95","75142001307","609-8380","Nuts & Fruit;Nuts & Fruit/Seeds",,"Per unit","0","DEFAULT","11","94BQ4DA50C8G4",
"Machine Size Gumballs","Machine Size Gumballs/16oz","3.99","329-2273","329-2273","Candy/Gum",,"Fixed","0","DEFAULT","9","55MB6011E9RRG",
"Seedlings Gumballs","Seedlings Gumballs","3.99","332-3891","332-3891","Candy/Gum",,"Fixed","0","DEFAULT","14","6QGXY0XSPCCEY",
"Cry Baby Sour Gum","Cry Baby Sour Gum/3oz","1.99","334-5407","334-5407","Candy/Gum",,"Fixed","0","DEFAULT","18","JVN4EWJCNKAX0",
"Giant Tennis Balls Sour Gum","Giant Tennis Balls Sour Gum/10oz","2.99","341-8053","341-8053","Candy/Gum",,"Fixed","0","DEFAULT","2","XXW6J19PRJSYY",
"Liquid Filled Wax Bottles","Liquid Filled Wax Bottles","2.25","338-2211","338-2211","Candy/Novelty",,"Fixed","0","DEFAULT","15","WQ31A9BEZSPP4",
"Red Swedish Fish - XL","Red Swedish Fish/1.6lbs","7.95","356-7974","356-7974","Candy/Gummy",,"Fixed","0","DEFAULT","10","0AYB4ATPYZXWT",
"Sour Patch Watermelon - XL","Sour Patch Watermelon/1.6lbs","7.95","354-1037","354-1037","Candy/Gummy",,"Fixed","0","DEFAULT","9","7N0XDDCK097R4",
"Assorted Swedish Fish - XL","Assorted Swedish Fish/1.6lbs","7.95","352-4948","352-4948","Candy/Gummy",,"Fixed","0","DEFAULT","9","04CXYA04HMNFE",
"Assorted Saf-T Pops","Assorted Safe T Pops/20ct","2.99","342-8891","342-8891","Candy/Novelty",,"Fixed","0","DEFAULT","15","C3HF3ZEDW731T",
"Charms Sweet & Sour Pops [Size=15 Count]","Charms Sweet And Sour Pops/15ct","2.99","344-15","344-15","Candy/Novelty",,"Fixed","0","DEFAULT","12","9D1F7NSJX0KYP",
"Assorted Blow Pops [Size=15 Count]","Assorted Blow Pops","2.49","346-15","346-15","Candy/Novelty",,"Fixed","0","DEFAULT","16","6BNEARZX6T4FC",
"Miniature Tootsie Pops","Miniature Tootsie Pops/30ct","1.99","348-4418","348-4418","Candy/Novelty",,"Fixed","0","DEFAULT","21","HRBAP7T7M8FS8",
"Soft Mint Candy - XL","Soft Mint Candy/1.5lbs","5.95","357-7490","357-7490","Candy/Hard Candy",,"Fixed","0","DEFAULT","4","NYN24YYHEN2TY",
"Assorted Hard Candy Mix - XL","Assorted Hard Mix/3lbs","9.95","2.38E+11","359-5346","Candy/Hard Candy",,"Fixed","0","DEFAULT","1","XX715HX3E5B8G",
"Hot Tamales - XL","Hot Tamales/4.5lbs","15.95","362-1606","362-1606","Candy/Novelty",,"Fixed","0","DEFAULT","5","798RFGPW9B11G",
"Charms Sweet & Sour Pops [Size=48 Count]","Charms Sweet & Sour Pops/48ct","8.95","14200337088","344-48","Candy/Novelty",,"Fixed","0","DEFAULT","1","WM8S03RXJDQBE",
"Caramel Apple Pops [Size=48 Count]","Caramel Apple Pops/48ct","8.95","71720305010","345-48","Candy/Novelty",,"Fixed","0","DEFAULT","11","9YTPKMB6S7Y5W",
"Atkinson Peanut Butter Bars","Peanut Butter Dino","2.99","7.20E+11","295-5459","Candy/Novelty",,"Fixed","0","DEFAULT","18","CZJ1Q6SZ98P4C",
"Milk Chocolate Cookie Dough","Milk Chocolate Tool Set","3.95","86232310360","404-6980","Chocolate",,"Fixed","0","DEFAULT","3","416ZYKK19S1DE",
"Milk Chocolate Nonpariels","Milk Chocolate Crayons","4.95","609441006","384-8128","Chocolate",,"Fixed","0","DEFAULT","5","TNBCB5ZZH5W0M",
"Chocolate Mint Candy","Chocolate Coin","2.99","86232310230","558-3615","Candy/Hard Candy",,"Fixed","0","DEFAULT","16","A27AJ4PZMB9J6",
