"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Search Keywords","Page Title","Meta Keywords","Meta Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,219,"Blue Raspberry Gummy Bears",P,,,,,Right,,10.95,0.00,0.00,0.00,0.0000,N,,32.0000,5.1200,10.2400,1.5700,Y,Y,,"by option",5,0,Candy/Gummy,939,d/636/20200426_140822__06033.jpg,,Y,1,,,,,,,,,,New,N,0,"Default Tax Class",,N,/blue-raspberry-gummy-bears/,,,,,,,,,,,,N,,
"  SKU",951,"[RT]Size=32 oz.",,219-32,,,,,,,0.00,,,,N,,,5.12,10.24,1.65,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",952,"[RT]Size=80 oz.",,219-80,,,,,,,0.00,,,,N,,,8.66,11.81,1.57,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",913,,,219-80,,,,,,[FIXED]19.95,,,,,,,[FIXED]80,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
Product,220,"Cinnamon Bears",P,220-4830,,,,Right,,2.25,0.00,0.00,0.00,0.0000,N,,12.0000,3.9400,7.8700,0.8700,Y,Y,,"by product",18,0,Candy/Gummy,940,e/719/20200426_134922__54265.jpg,,Y,1,,,,,,,,,,New,N,0,"Default Tax Class",,N,/cinnamon-bears/,,,,,,,,,,,,N,,
Product,221,"Bubble Gum Gummy Bottles",P,221-2476,,,,Right,,2.99,0.00,0.00,0.00,0.0000,N,,10.0000,3.9400,7.8700,0.8700,Y,Y,,"by product",11,0,Candy/Gummy,941,n/601/20200426_135940__41838.jpg,,Y,1,,,,,,,,,,New,N,0,"Default Tax Class",,N,/bubble-gum-gummy-bottles/,,,,,,,,,,,,N,,
Product,222,"Orange Gummy Bears",P,,,,,Right,,10.95,0.00,0.00,0.00,0.0000,N,,32.0000,5.1200,10.2400,1.5700,Y,Y,,"by option",8,0,Candy/Gummy,942,x/046/20200426_140801__79149.jpg,,Y,1,,,,,,,,,,New,N,0,"Default Tax Class",,N,/orange-gummy-bears/,,,,,,,,,,,,N,,
"  SKU",947,"[RT]Size=32 oz.",,222-32,,,,,,,0.00,,,,N,,,5.12,10.24,1.65,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",948,"[RT]Size=80 oz.",,222-80,,,,,,,0.00,,,,N,,,9.06,11.81,1.61,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",911,,,222-80,,,,,,[FIXED]19.95,,,,,,,[FIXED]80,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
