"name","clName","price","SKU","description","price_type","cost","tax_rates","quantity","category","clover_ID","bcSKU",
,,"4.95","45632256",,"Fixed",,"DEFAULT",,"Dessert",,"45632256",
,,"1.69","41420128172",,"Fixed",,"DEFAULT",,,,"41420128172",
,,"1.25","ch071720531303",,"Fixed",,"DEFAULT",,,,"ch071720531303",
,,"1.39","14200533107",,"Fixed",,"DEFAULT",,,,"14200533107",
,,"1.25","71720531204",,"Fixed",,"DEFAULT",,,,"71720531204",
,,"0.99","70602489008",,"Fixed",,"DEFAULT",,,,"70602489008",
,,"1.39","59642008288",,"Fixed",,"DEFAULT",,,,"59642008288",
,,"1.99","3429903",,"Fixed",,"DEFAULT",,,,"3429903",
,,"1.99","10700804273",,"Fixed",,"DEFAULT",,,,"10700804273",
,,"1.25","11206005003",,"Fixed",,"DEFAULT",,,,"11206005003",
,,"2.25","7.07467E+11",,"Fixed",,"DEFAULT",,,,"7.07467E+11",
,,"1.25","8.59917E+11",,"Fixed",,"DEFAULT",,,,"8.59917E+11",
,,"2.49","86232359741",,"Fixed",,"DEFAULT",,,,"86232359741",
,,"1.69","8.9897E+11",,"Fixed",,"DEFAULT",,,,"8.9897E+11",
,,"1.25","14200532100",,"Fixed",,"DEFAULT",,,,"14200532100",
,,"1.25","79200230401",,"Fixed",,"DEFAULT",,,,"79200230401",
,,"1.99","6.86465E+11",,"Fixed",,"DEFAULT",,,,"6.86465E+11",
,,"1.25","41311126058",,"Fixed",,"DEFAULT",,,,"41311126058",
,,"1.39","86232312241",,"Fixed",,"DEFAULT",,,,"86232312241",
,,"1.39","30800910001",,"Fixed",,"DEFAULT",,,,"30800910001",
,,"1.29","7065042",,"Fixed",,"DEFAULT",,,,"7065042",
,,"0.99","11642031017",,"Fixed",,"DEFAULT",,,,"11642031017",
,,"0.89","7.21874E+11",,"Fixed",,"DEFAULT",,,,"7.21874E+11",
,,"0.89","7.21874E+11",,"Fixed",,"DEFAULT",,,,"7.21874E+11",
,,"1.39","7.98051E+11",,"Fixed",,"DEFAULT",,,,"7.98051E+11",
,,"0.25","73390014384",,"Fixed",,"DEFAULT",,,,"73390014384",
,,"0.49","41168631675",,"Fixed",,"DEFAULT",,,,"41168631675",
,,"1.99","41116005954",,"Fixed",,"DEFAULT",,,,"41116005954",
,,"1.99","6.86465E+11",,"Fixed",,"DEFAULT",,,,"6.86465E+11",
,,"1.99","6.86465E+11",,"Fixed",,"DEFAULT",,,,"6.86465E+11",
,,"0.25","73390002015",,"Fixed",,"DEFAULT",,,,"73390002015",
,,"0.25","73390002022",,"Fixed",,"DEFAULT",,,,"73390002022",
,,"0.25","73390002077",,"Fixed",,"DEFAULT",,,,"73390002077",
,,"0.25","73390002213",,"Fixed",,"DEFAULT",,,,"73390002213",
,,"0.39","41420078170",,"Fixed",,"DEFAULT",,,,"41420078170",
,,"0.39","41420014000",,"Fixed",,"DEFAULT",,,,"41420014000",
,,"0.99","59642745244",,"Fixed",,"DEFAULT",,,,"59642745244",
,,"1.25","6.86465E+11",,"Fixed",,"DEFAULT",,,,"6.86465E+11",
,,"1.99","41116301001",,"Fixed",,"DEFAULT",,,,"41116301001",
,,"19.95","11228372121",,"Fixed",,"DEFAULT",,,,"11228372121",
,,"24.95","37466020761",,"Fixed",,"DEFAULT",,,,"37466020761",
,,"24.95","9542005153",,"Fixed",,"DEFAULT",,,,"9542005153",
,,"19.95","11228721202",,"Fixed",,"DEFAULT",,,,"11228721202",
,,"24.95","37466020785",,"Fixed",,"DEFAULT",,,,"37466020785",
,,"2.49","89449199322",,"Fixed",,"DEFAULT",,,,"89449199322",
,,"2.95","59642130835",,"Fixed",,"DEFAULT",,,,"59642130835",
,,"3.49","34000540105",,"Fixed",,"DEFAULT",,,,"34000540105",
,,"2.95","4.75103E+12",,"Fixed",,"DEFAULT",,,,"4.75103E+12",
,,"2.95","4.75103E+12",,"Fixed",,"DEFAULT",,,,"4.75103E+12",
,,"5.95","8.39456E+11",,"Fixed",,"DEFAULT",,,,"8.39456E+11",
,,"0.99","4.75103E+12",,"Fixed",,"DEFAULT",,,,"4.75103E+12",
,,"4.95","8.5143E+11",,"Fixed",,"DEFAULT",,,,"8.5143E+11",
,,"2.95",,,"Fixed",,"DEFAULT",,,,,
,,"12.95","8.13805E+11",,"Fixed",,"DEFAULT",,,,"8.13805E+11",
,,"19.95","71720331101",,"Fixed",,"DEFAULT",,,,"71720331101",
,,"19.95","71720331309",,"Fixed",,"DEFAULT",,,,"71720331309",
,,"12.95","79200563127",,"Fixed",,"DEFAULT",,,,"79200563127",
,,"12.95","79200924317",,"Fixed",,"DEFAULT",,,,"79200924317",
,,"12.95","28000479763",,"Fixed",,"DEFAULT",,,,"28000479763",
,,"5.95","41420088179",,"Fixed",,"DEFAULT",,,,"41420088179",
,,"5.95","41420127830",,"Fixed",,"DEFAULT",,,,"41420127830",
,,"6.99","73390001124",,"Fixed",,"DEFAULT",,,,"73390001124",
,,"6.99","73390029951",,"Fixed",,"DEFAULT",,,,"73390029951",
,,"6.99","73390001162",,"Fixed",,"DEFAULT",,,,"73390001162",
,,"6.99","73390001131",,"Fixed",,"DEFAULT",,,,"73390001131",
,,"8.95","71720078587",,"Fixed",,"DEFAULT",,,,"71720078587",
,,"8.95","71720078020",,"Fixed",,"DEFAULT",,,,"71720078020",
,,"8.95","71720078426",,"Fixed",,"DEFAULT",,,,"71720078426",
,,"8.95","71720078068",,"Fixed",,"DEFAULT",,,,"71720078068",
,,"8.95","71720078556",,"Fixed",,"DEFAULT",,,,"71720078556",
,,"12.95","70622801019",,"Fixed",,"DEFAULT",,,,"70622801019",
,,"9.95","14200302208",,"Fixed",,"DEFAULT",,,,"14200302208",
,,"5.95","11212003185",,"Fixed",,"DEFAULT",,,,"11212003185",
,,"24.95","30800911008",,"Fixed",,"DEFAULT",,,,"30800911008",
