"name","clName","price","SKU","bcSKU","category","description","price_type","cost","tax_rates","quantity","clover_ID",
"Blue Raspberry Gummy Bears [Size=32 oz.]",,"10.95","219-32","219-32","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Blue Raspberry Gummy Bears [Size=80 oz.]",,"19.95","219-80","219-80","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Cinnamon Bears",,"2.25","220-4830","220-4830","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Bubble Gum Gummy Bottles",,"2.99","221-2476","221-2476","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Orange Gummy Bears [Size=32 oz.]",,"10.95","222-32","222-32","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Orange Gummy Bears [Size=80 oz.]",,"19.95","222-80","222-80","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Cherry Slices",,"2.25","223-7871","223-7871","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Orange Slices",,"2.25","224-3012","224-3012","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Worms",,"2.69","225-7161","225-7161","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Red Swedish Fish",,"2.49","226-7566","226-7566","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Banana Gummy Bears [Size=32 oz.]",,"10.95","227-32","227-32","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Banana Gummy Bears [Size=80 oz.]",,"19.95","227-80","227-80","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Fruit Slices",,"2.25","228-3057","228-3057","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Mini Butterflys",,"2.99","229-2019","229-2019","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Rattlesnakes",,"3.99","230-5724","230-5724","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Gummy Grapefruit",,"2.69","231-3394","231-3394","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Assorted Swedish Fish",,"2.49","232-3595","232-3595","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Gummy Dinosaurs",,"2.69","233-5436","233-5436","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Bubble Gum Berries",,"2.99","234-4394","234-4394","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Bears USA Made",,"2.99","235-5175","235-5175","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Twin Cherries",,"2.69","236-8223","236-8223","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Sour Gummy Bright Crawlers",,"2.69","237-4263","237-4263","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Sour Patch Kids",,"2.49","238-4102","238-4102","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Assorted Sour Laces",,"2.25","239-7730","239-7730","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Sour Cherries",,"2.49","240-6051","240-6051","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Rainbow Berries",,"2.99","241-6841","241-6841","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Gummy Mice",,"2.99","242-2549","242-2549","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Grape Finnish Fish",,"2.49","243-4064","243-4064","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Strawberry Cakes",,"2.99","244-3449","244-3449","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Kollisions Licorice",,"2.99","245-8396","245-8396","Candy/Gummy;Candy/Licorice",,"Fixed",,"DEFAULT",,,
"Imported Gummy Fruit Salad",,"2.69","246-6850","246-6850","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gummy Lobsters",,"2.99","247-1411","247-1411","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Gummy Frogs",,"2.99","248-4741","248-4741","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Grape Gummy Bears [Size=32 oz.]",,"10.95","249-32","249-32","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Grape Gummy Bears [Size=80 oz.]",,"19.95","249-80","249-80","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Gummy Penguins",,"2.99","250-8540","250-8540","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Gum Drops",,"2.25","251-3977","251-3977","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Rainbow Frogs",,"2.99","252-5298","252-5298","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Rainbow Laces",,"2.25","253-6746","253-6746","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Assorted Gummy Rings",,"2.99","254-7786","254-7786","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Sour Patch Watermelon",,"2.49","255-2460","255-2460","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Mini Gummy Bears USA Made",,"2.99","256-6339","256-6339","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Imported Raspberries & Blackberries",,"2.69","257-7154","257-7154","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Raspberries & Blackberries",,"3.99","258-3175","258-3175","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Anise Bears",,"2.25","259-1872","259-1872","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Sour Cherries Balls",,"2.25","260-3406","260-3406","Candy/Gummy",,"Fixed",,"DEFAULT",,,
"Fruit Gems",,"2.99","261-1498","261-1498","Candy/Gummy",,"Fixed",,"DEFAULT",,,
